frame,x1,y1,x2,y2,confidence,class
14,1670,464,1696,525,0.9145,player
14,844,573,895,637,0.9143,player
14,804,244,840,298,0.9126,player
14,416,200,462,256,0.9122,player
14,917,198,950,246,0.9118,player
14,290,423,318,482,0.9117,player
14,1112,481,1144,543,0.9109,player
14,887,155,922,203,0.9076,player
14,1315,807,1339,886,0.9056,player
14,336,364,384,417,0.9016,player
14,1712,326,1738,387,0.9015,player
14,1133,352,1155,408,0.8951,player
14,714,343,742,398,0.8842,player
14,748,394,773,453,0.8699,player
14,993,147,1022,195,0.8522,player
14,469,65,504,117,0.5731,player
15,947,267,982,328,0.9261,player
15,290,507,337,573,0.9236,player
15,839,148,868,191,0.9231,player
15,293,423,320,482,0.9212,player
15,556,93,589,143,0.9184,player
15,1671,463,1699,526,0.9178,player
15,886,155,924,204,0.9167,player
15,1112,480,1145,542,0.9165,player
15,916,198,951,246,0.9159,player
15,1486,226,1517,276,0.9141,player
15,416,201,464,256,0.9117,player
15,284,776,319,848,0.9113,player
15,846,574,889,639,0.9089,player
15,1315,807,1343,887,0.9074,player
15,336,364,377,417,0.8941,player
15,991,147,1017,195,0.8939,player
15,712,343,745,398,0.8934,player
15,1133,351,1154,408,0.8925,player
15,1712,326,1735,387,0.8919,player
15,745,390,773,454,0.8911,player
15,803,246,829,297,0.7926,player
15,488,10,517,58,0.4834,player
16,280,771,323,847,0.9311,player
16,951,268,986,328,0.924,player
16,1671,462,1702,525,0.9227,player
16,290,505,337,569,0.9223,player
16,294,420,324,481,0.9208,player
16,834,146,872,189,0.9195,player
16,1487,226,1520,276,0.9157,player
16,915,199,952,246,0.9156,player
16,742,384,774,450,0.9156,player
16,1110,480,1148,541,0.913,player
16,1313,808,1348,886,0.9116,player
16,417,201,462,258,0.9099,player
16,1134,351,1159,408,0.909,player
16,557,94,589,144,0.9079,player
16,710,340,746,397,0.9055,player
16,335,364,369,417,0.9055,player
16,843,573,878,639,0.9024,player
16,887,155,924,205,0.9023,player
16,800,246,831,298,0.8985,player
16,991,148,1020,193,0.898,player
16,1711,325,1735,388,0.8935,player
17,277,768,326,844,0.9382,player
17,741,384,778,449,0.9267,player
17,1134,350,1163,408,0.9232,player
17,1310,808,1352,885,0.9231,player
17,1672,463,1706,526,0.9228,player
17,918,201,950,248,0.9205,player
17,335,364,372,417,0.9176,player
17,1109,480,1146,542,0.9155,player
17,1711,325,1740,388,0.9142,player
17,1487,227,1522,278,0.914,player
17,829,147,869,187,0.9137,player
17,296,418,332,478,0.9136,player
17,957,271,989,327,0.9132,player
17,292,504,334,567,0.9107,player
17,417,201,460,258,0.9092,player
17,796,245,835,295,0.9077,player
17,990,148,1023,193,0.9059,player
17,560,97,592,155,0.9045,player
17,709,340,747,396,0.9038,player
17,841,573,871,638,0.9032,player
17,890,157,920,206,0.8914,player
17,1673,456,1709,539,0.2868,player
18,275,765,327,836,0.9385,player
18,1309,808,1357,885,0.9358,player
18,298,415,337,476,0.9289,player
18,739,387,781,447,0.9281,player
18,1670,463,1710,526,0.9251,player
18,1133,351,1166,410,0.921,player
18,829,148,864,190,0.9202,player
18,334,364,379,416,0.9177,player
18,289,504,330,567,0.9154,player
18,791,245,835,296,0.9127,player
18,1489,229,1524,280,0.9119,player
18,1706,325,1743,389,0.9117,player
18,839,572,875,639,0.9111,player
18,1111,481,1144,544,0.9101,player
18,564,99,591,157,0.9087,player
18,962,271,989,327,0.9072,player
18,920,201,948,250,0.9057,player
18,985,149,1023,193,0.905,player
18,707,341,746,397,0.9005,player
18,416,201,457,258,0.8986,player
18,890,158,916,205,0.8751,player
19,301,414,340,472,0.9309,player
19,276,764,323,832,0.9304,player
19,739,390,781,446,0.9282,player
