player_id,frame,view,x1,y1,x2,y2
155,11,tacticam,718,343,753,399
199,11,tacticam,298,513,326,579
200,11,tacticam,946,267,966,327
200,9,broadcast,1664,452,1699,534
187,11,tacticam,892,157,917,204
201,11,tacticam,842,148,890,188
202,11,tacticam,921,200,948,248
203,12,tacticam,422,200,462,257
203,10,broadcast,1255,466,1317,559
204,12,tacticam,289,779,343,852
204,10,broadcast,1661,452,1711,536
205,12,tacticam,854,571,898,639
205,10,broadcast,1661,452,1711,536
206,12,tacticam,807,242,853,292
206,10,broadcast,1255,466,1317,559
207,12,tacticam,287,424,320,487
207,11,broadcast,1536,719,1625,846
208,12,tacticam,1669,464,1702,524
208,10,broadcast,1661,452,1711,536
155,12,tacticam,995,145,1032,192
209,12,tacticam,1703,323,1746,386
209,10,broadcast,1661,452,1711,536
155,12,tacticam,1129,351,1163,408
209,12,tacticam,554,95,580,140
210,12,tacticam,1314,809,1342,886
211,12,tacticam,298,513,327,578
212,12,tacticam,337,365,389,415
213,12,tacticam,1482,226,1509,273
213,10,broadcast,1661,452,1711,536
214,12,tacticam,717,344,746,398
214,11,broadcast,1561,496,1596,576
214,12,tacticam,919,198,944,247
215,12,tacticam,946,267,970,327
215,12,broadcast,632,745,686,878
216,12,tacticam,1116,481,1142,543
216,10,broadcast,1565,498,1596,589
217,12,tacticam,845,148,882,188
217,11,broadcast,1655,452,1719,532
214,12,tacticam,889,155,918,200
218,12,tacticam,748,393,779,452
217,13,tacticam,846,573,899,638
219,13,tacticam,943,265,975,327
219,12,broadcast,632,745,686,878
220,13,tacticam,420,200,462,256
220,11,broadcast,1258,466,1328,560
221,13,tacticam,289,779,333,852
221,11,broadcast,1499,433,1547,519
220,13,tacticam,807,243,846,295
217,13,tacticam,554,95,582,139
222,13,tacticam,918,199,946,247
223,13,tacticam,288,424,319,484
223,12,broadcast,937,571,981,671
224,13,tacticam,1670,464,1699,525
224,14,broadcast,637,741,694,863
225,13,tacticam,296,512,331,577
